"","day","mo","temp","dewp","wdsp","NUM_COLLISIONS"
"256",5,3,45,29.9,5.8,0.804045512010114
"257",6,3,35.6,13.6,9.2,0.70417193426043
"258",7,3,36.1,13.5,7.3,0.767383059418458
"259",2,3,37.3,24.1,4.7,0.65865992414665
"260",1,3,33,20,4.6,0.538558786346397
"261",3,3,32.1,14.1,7.5,0.787610619469027
"262",4,3,36,32.2,8.8,0.706700379266751
"263",5,3,38.5,18.9,7.2,0.6826801517067
"264",6,3,35.7,16,4.8,0.642225031605563
"265",7,3,34,13.9,7.5,0.763590391908976
"266",2,3,38.4,17.6,8.3,0.616940581542351
"267",1,3,39.1,18.2,5.7,0.570164348925411
"268",3,3,38.3,27.7,6.5,0.629582806573957
"269",4,3,42.2,27.3,4.5,0.537294563843236
"270",5,3,43.8,22.7,4.8,0.557522123893805
"271",6,3,43.3,27.8,4.7,0.694058154235145
"272",7,3,46.7,26.4,5.7,0.657395701643489
"273",2,3,48,24.5,3.8,0.648546144121365
"274",1,3,49.3,29.7,4.6,0.538558786346397
"275",3,4,49.3,40.8,5.7,0.605562579013906
"276",4,4,38,10.9,8.5,0.552465233881163
"277",5,4,38.4,9.5,8.9,0.672566371681416
"278",6,4,39.9,16.4,6.1,0.715549936788875
"279",7,4,49,22.3,4.7,0.735777496839444
"280",2,4,43.1,13.2,6.2,0.671302149178255
"281",1,4,46.2,31,5.8,0.570164348925411
"282",3,4,59,40.8,4.1,0.735777496839444
"283",4,4,65.7,42.7,4.3,0.774968394437421
"284",5,4,65.1,45.9,4,0.733249051833123
"285",6,4,56.2,50.1,4.8,0.653603034134008
"286",7,4,44.2,38.8,9.9,0.820480404551201
"287",2,4,46.5,36.8,3.9,0.701643489254109
"288",1,4,52.3,30.4,3.5,0.596713021491783
"289",3,4,49.9,27,5.5,0.762326169405815
"290",4,4,53.9,43.9,5.6,0.713021491782554
"291",5,4,62.7,45.3,5.3,0.676359039190898
"292",6,4,55.3,39.9,4.6,0.699115044247788
"293",7,4,60.8,55,6.1,0.720606826801517
"294",2,4,55.5,38,7.6,0.672566371681416
"295",1,4,46,20.5,5.5,0.595448798988622
"296",3,4,47.6,29.9,6.8,0.714285714285714
"297",4,4,45.4,34.5,8.3,0.648546144121365
"298",5,4,52.9,41.1,4.5,0.756005056890013
"299",6,4,56.1,31.5,4.9,0.737041719342604
"300",7,4,57.3,29.4,2.5,0.853350189633375
"301",2,4,57.8,27.8,4.4,0.653603034134008
"302",1,4,58.9,31.1,3.5,0.556257901390645
"303",3,4,55,44,4.3,0.756005056890013
"304",4,4,57.7,38.2,4.8,0.72819216182048
"305",5,5,57,32.7,4.5,0.72819216182048
"306",6,5,58.9,41.2,2.3,0.739570164348925
"307",7,5,56.6,37.9,6,0.867256637168142
"308",2,5,54.7,41.4,4.9,0.733249051833123
"309",1,5,52.1,38.7,5.2,0.651074589127686
"310",3,5,55.4,44.7,3.6,0.709228824273072
"311",4,5,60.9,50.8,4,0.748419721871049
"312",5,5,60.3,56.6,4.5,0.783817951959545
"313",6,5,58.9,54.2,2.9,0.761061946902655
"314",7,5,66.9,54,3,0.882427307206068
"315",2,5,64.4,60.1,3.3,0.661188369152971
"316",1,5,62.6,45.3,5.4,0.666245259165613
"317",3,5,51.7,26.7,6.6,0.729456384323641
"318",4,5,51.1,27.2,4.3,0.714285714285714
"319",5,5,58,39.9,3.3,0.672566371681416
"320",6,5,69.5,51,3.3,0.706700379266751
"321",7,5,66.4,40.2,3,0.936788874841972
"322",2,5,61,46.6,2.2,0.639696586599241
"323",1,5,57.3,53.4,3.6,0.687737041719343
"324",3,5,65,60,2,0.830594184576485
"325",4,5,75.9,65.2,3.6,0.881163084702908
"326",5,5,71,63.4,3.7,0.720606826801517
"327",6,5,71.5,66.2,3.9,0.929203539823009
"328",7,5,59.6,57,4.5,0.844500632111252
"329",2,5,48.1,41.7,7.5,0.649810366624526
"330",1,5,55.5,35.6,8.3,0.575221238938053
"331",3,5,61.7,34.9,3.3,0.530973451327434
"332",4,5,61.1,47.1,2.3,0.867256637168142
"333",5,5,66.9,60.6,1.6,0.725663716814159
"334",6,5,81,63.4,3.8,0.865992414664981
"335",7,5,83,63.4,3.4,0.930467762326169
"336",2,6,80.8,64.1,3.8,0.797724399494311
"337",1,6,80.1,65.9,5.1,0.615676359039191
"338",3,6,72.2,67.3,3.5,0.893805309734513
"339",4,6,66.1,45.6,3.9,0.774968394437421
"340",5,6,66,41.7,3.7,0.757269279393173
"341",6,6,63.8,53.8,3.7,0.764854614412137
"342",7,6,61.5,59.4,7.2,1
"343",2,6,64.9,58.9,5.9,0.721871049304678
"344",1,6,71.7,57.6,1.7,0.673830594184576
"345",3,6,67.7,62.1,4.2,0.788874841972187
"346",4,6,69.6,63.6,4.9,0.802781289506953
"347",5,6,70.9,53.2,6.1,0.777496839443742
"348",6,6,65.7,55.6,3.6,0.675094816687737
"349",7,6,59.9,53.8,6.5,0.876106194690266
"350",2,6,69.4,52,3.5,0.753476611883692
"351",1,6,72.8,53.8,2.5,0.603034134007585
"352",3,6,75.3,63.4,3.7,0.776232616940582
"353",4,6,72.8,63.8,1.9,0.774968394437421
"354",5,6,67.4,54.4,5,0.786346396965866
"355",6,6,69.6,52.4,3.2,0.860935524652339
"356",7,6,71.6,51.6,3.9,0.872313527180784
"357",2,6,72.4,54,4.1,0.757269279393173
"358",1,6,76.1,62.6,3.8,0.638432364096081
"359",3,6,80.6,68.1,4,0.859671302149178
"360",4,6,80.9,64.9,2.9,0.81921618204804
"361",5,6,79.4,65.6,3.7,0.785082174462705
"362",6,6,78.1,68.7,2.9,0.756005056890013
"363",7,6,77.1,69.4,4.6,0.768647281921618
"364",2,6,76.2,65.9,3.5,0.747155499367889
"365",1,6,77.5,70.8,3,0.534766118836915
"366",3,7,74.2,71,2.7,0.800252844500632
"367",4,7,75.6,71.7,2.2,0.759797724399494
"368",5,7,76,71.4,4.2,0.802781289506953
"369",6,7,79.5,72.8,3.1,0.553729456384324
"370",7,7,82.3,70.7,4.7,0.72819216182048
"371",2,7,84.6,70.1,3.9,0.652338811630847
"372",1,7,85.6,70.7,3.6,0.600505689001264
"373",3,7,81.3,65.8,3.8,0.780025284450063
"374",4,7,78.8,67.2,4.1,0.737041719342604
"375",5,7,79.4,70.5,2.9,0.776232616940582
"376",6,7,80.6,68.7,3.3,0.695322376738306
"377",7,7,75,62.6,7.3,0.757269279393173
"378",2,7,72.2,68.9,6.2,0.72692793931732
"379",1,7,80.3,71.5,2.9,0.595448798988622
"380",3,7,85.3,69.7,3.4,0.734513274336283
"381",4,7,85.9,66.3,3.9,0.735777496839444
"382",5,7,86.7,66.3,2.7,0.769911504424779
"383",6,7,88.2,68.6,3.6,0.804045512010114
"384",7,7,89.1,72.1,3.6,0.881163084702908
"385",2,7,86.7,70.1,5.6,0.696586599241466
"386",1,7,82.3,63.7,3.9,0.565107458912769
"387",3,7,78.2,70,4.4,0.747155499367889
"388",4,7,78.7,71.4,3.5,0.721871049304678
"389",5,7,78.5,64.5,3.6,0.721871049304678
"390",6,7,67.3,52.3,7.4,0.640960809102402
"391",7,7,72.2,57.5,5.3,0.780025284450063
"392",2,7,75.2,61.2,3.6,0.652338811630847
"393",1,7,73.3,65.2,1.4,0.61314791403287
"394",3,7,75.1,64.9,2.9,0.754740834386852
"395",4,7,74.4,53.3,3.8,0.738305941845765
"396",5,7,74.1,56.3,2.2,0.699115044247788
"397",6,8,71.5,62.8,2.3,0.812895069532238
"398",7,8,73.6,62.9,3.7,0.791403286978508
"399",2,8,73.4,60,3.4,0.621997471554994
"400",1,8,73.2,56,3.9,0.573957016434892
"401",3,8,70.2,47,3.7,0.689001264222503
"402",4,8,72.1,52.5,1.7,0.686472819216182
"403",5,8,73.4,60.5,4.6,0.642225031605563
"404",6,8,73.8,69.3,3.7,0.694058154235145
"405",7,8,77,71.9,3.3,0.731984829329962
"406",2,8,77.2,62.8,4.4,0.625790139064475
"407",1,8,73.5,53,2.3,0.608091024020228
"408",3,8,74.5,64.2,2,0.656131479140329
"409",4,8,73.2,67.2,1.7,0.697850821744627
"410",5,8,68.3,52.3,5.3,0.786346396965866
"411",6,8,68.6,47.5,3.3,0.757269279393173
"412",7,8,70.9,51.5,1.7,0.857142857142857
"413",2,8,72.6,53.5,1.6,0.63716814159292
"414",1,8,72.1,54.6,2.5,0.558786346396966
"415",3,8,72.1,58.2,2.4,0.584070796460177
"416",4,8,76.6,61.9,3.3,0.685208596713021
"417",5,8,80.1,61.4,1.9,0.710493046776233
"418",6,8,75.6,68.8,2.9,0.730720606826802
"419",7,8,75.5,60.8,4.6,0.804045512010114
"420",2,8,72,49.8,5.3,0.666245259165613
"421",1,8,72.8,53.9,2.4,0.580278128950695
"422",3,8,74.5,56.8,4.9,0.65865992414665
"423",4,8,77.8,66.1,4.9,0.639696586599241
"424",5,8,76.4,68,1.8,0.609355246523388
"425",6,8,73.8,67.5,4,0.723135271807838
"426",7,8,75.1,64.3,3.6,0.757269279393173
"427",2,8,78.3,68.8,4.4,0.606826801517067
"428",1,9,78.9,70.1,2.7,0.606826801517067
"429",3,9,76.9,71.8,0.9,0.5448798988622
"430",4,9,75.7,64.8,2.7,0.696586599241466
"431",5,9,72.7,54,4.4,0.763590391908976
"432",6,9,73,51.4,4.3,0.623261694058154
"433",7,9,64.7,39.9,4.2,0.662452591656131
"434",2,9,67.8,45.9,2.9,0.739570164348925
"435",1,9,73.7,52.8,4.5,0.632111251580278
"436",3,9,65.3,45.6,4.9,0.798988621997472
"437",4,9,74.9,63.7,4.1,0.79519595448799
"438",5,9,84.4,70.9,3.9,0.72819216182048
"439",6,9,80,69.8,4.6,0.878634639696587
"440",7,9,70.1,61.5,4.1,0.824273072060683
"441",2,9,60.3,44.5,4.7,0.656131479140329
"442",1,9,60.4,43.3,2.9,0.601769911504425
"443",3,9,65.2,51.7,3.2,0.720606826801517
"444",4,9,57.8,38.3,5.4,0.792667509481669
"445",5,9,60,41.9,1.4,0.721871049304678
"446",6,9,64.3,47.4,2.9,0.677623261694058
"447",7,9,67.6,53.9,2.1,0.797724399494311
"448",2,9,67.7,59.5,3.6,0.690265486725664
"449",1,9,65.3,53.6,4.6,0.739570164348925
"450",3,9,57.5,39.8,3.7,0.835651074589128
"451",4,9,58.4,40.3,3.8,0.777496839443742
"452",5,9,62.5,43.4,2,0.68141592920354
"453",6,9,63,52.3,3.1,0.652338811630847
"454",7,9,61.8,50.8,3.3,0.699115044247788
"455",2,9,64.1,49.4,4.4,0.691529709228824
"456",1,9,63.7,52.2,2.4,0.639696586599241
"457",3,9,63.1,50.7,2.1,0.764854614412137
"458",4,10,68.2,52.1,2.3,0.778761061946903
"459",5,10,72.7,55.9,3.6,0.81795195954488
"460",6,10,71.7,54.7,0.9,0.745891276864728
"461",7,10,73.5,59.7,2,0.831858407079646
"462",2,10,69.5,61.5,3.5,0.628318584070796
"463",1,10,67.2,63.1,4.7,0.510745891276865
"464",3,10,69.6,64.7,5.2,0.781289506953224
"465",4,10,60.8,43.9,5,0.725663716814159
"466",5,10,58.3,42.3,7.2,0.668773704171934
"467",6,10,58.4,48.4,7.3,0.706700379266751
"468",7,10,63.3,54.4,8.1,0.785082174462705
"469",2,10,65.2,45.7,8.9,0.702907711757269
"470",1,10,60.3,49.4,8.9,0.634639696586599
"471",3,10,58.2,46.2,2.8,0.556257901390645
"472",4,10,60,49.6,2.1,0.777496839443742
"473",5,10,60.6,51.9,3.1,0.692793931731985
"474",6,10,65.3,58.1,1.3,0.725663716814159
"475",7,10,63.5,47.6,6.4,0.859671302149178
"476",2,10,58.3,42,2.2,0.595448798988622
"477",1,10,57.4,39.6,5.5,0.619469026548673
"478",3,10,57.4,35.5,3.1,0.778761061946903
"479",4,10,59.5,44.8,3.8,0.6826801517067
"480",5,10,51.8,35.1,3.8,0.70543615676359
"481",6,10,47.4,29.5,6,0.798988621997472
"482",7,10,46.3,27.4,4.3,0.81795195954488
"483",2,10,47.9,29,5.5,0.791403286978508
"484",1,10,52.1,28.9,4.3,0.647281921618205
"485",3,10,51.5,29.6,3.7,0.783817951959545
"486",4,10,50.2,30,4.9,0.758533501896334
"487",5,10,52.8,39,1.8,0.70543615676359
"488",6,10,59.7,52.7,2.3,0.777496839443742
"489",7,11,66.2,56.7,4.8,0.897597977243995
"490",2,11,61.3,46.6,3.2,0.696586599241466
"491",1,11,49.6,32.9,5.3,0.524652338811631
"492",3,11,39.4,15.9,5.7,0.831858407079646
"493",4,11,46.8,30.4,3.8,0.644753476611884
"494",5,11,54.4,42.1,3,0.802781289506953
"495",6,11,57.8,51,4.8,0.816687737041719
"496",7,11,45,26.7,7.3,0.862199747155499
"497",2,11,43.7,24.2,4.8,0.721871049304678
"498",1,11,49.6,31.1,6,0.599241466498104
"499",3,11,48.2,25,6.5,0.576485461441214
"500",4,11,42.8,24.9,5,0.81795195954488
"501",5,11,33.1,12.9,5.6,0.74968394437421
"502",6,11,40.7,15.2,6.4,0.783817951959545
"503",7,11,50,20.2,4,0.780025284450063
"504",2,11,52.3,35.5,3.4,0.77370417193426
"505",1,11,54.6,49.8,2.1,0.672566371681416
"506",3,11,60.4,45.5,5.8,0.7724399494311
"507",4,11,47.1,23.1,8.9,0.758533501896334
"508",5,11,37.5,16,5.8,0.767383059418458
"509",6,11,42.1,24.8,4.2,0.793931731984829
"510",7,11,52.8,43.7,5.1,0.887484197218711
"511",2,11,46.3,27.8,7.2,0.677623261694058
"512",1,11,27.6,4.8,10.8,0.624525916561315
"513",3,11,27.5,6.8,5.6,0.897597977243995
"515",5,11,48.5,44.4,7.9,0.938053097345133
"516",6,11,33.2,13.3,7.9,0.542351453855879
"517",7,11,33.7,13.8,2.4,0.552465233881163
"518",2,11,31.2,14.3,4.9,0.605562579013906
"519",1,12,41.3,28.2,2.1,0.530973451327434
"520",3,12,45.1,32.4,2.2,0.694058154235145
"521",4,12,44.8,34.3,2.7,0.699115044247788
"522",5,12,45.7,34.7,2.4,0.657395701643489
"523",6,12,52.8,47,2.6,0.724399494310999
"524",7,12,52.4,48.3,4.2,0.959544879898862
"525",2,12,38.2,29.1,6.1,0.716814159292035
"526",1,12,31.6,15.6,5.2,0.576485461441214
"527",3,12,34.6,31.2,6.8,0.807838179519595
"528",4,12,35.7,30.2,5.1,0.68141592920354
"529",5,12,30.1,14.1,6.8,0.764854614412137
"530",6,12,26.8,8,6.6,0.81921618204804
"531",7,12,27.8,7.7,5.5,0.878634639696587
"532",2,12,28.2,17.5,7,0.872313527180784
"533",1,12,33.1,27.5,8.1,0.56890012642225
"534",3,12,30.3,12.7,7.4,0.809102402022756
"535",4,12,27.3,16,5.2,0.888748419721871
"536",5,12,28.9,18.3,5.5,0.88621997471555
"537",6,12,36.5,20.7,4.8,0.767383059418458
"538",7,12,46.8,28.4,3,0.852085967130215
"539",2,12,55.4,44.4,7,0.75094816687737
"540",1,12,65.5,55.4,5.5,0.638432364096081
"541",3,12,59.8,54,3.7,0.893805309734513
"542",4,12,38.8,23.9,5.8,0.651074589127686
"544",6,12,31.9,18.7,4.5,0.541087231352718
"545",7,12,35.2,18.7,5.2,0.601769911504425
"546",2,12,43,22,5.8,0.600505689001264
"547",1,12,45.9,30.4,5.4,0.498103666245259
"548",3,12,39.8,29.2,6.2,0.601769911504425
"549",4,12,26,10.4,4.4,0.587863463969659
"550",5,1,28.2,10.7,5.1,0.503787878787879
"551",6,1,28.5,19.6,9.8,0.761363636363636
"552",7,1,15.6,6.7,10.1,0.534090909090909
"553",2,1,15.8,-1.4,4,0.527777777777778
"554",1,1,30.3,21.9,3.8,0.404040404040404
"555",3,1,45.6,39.8,6.3,0.654040404040404
"556",4,1,12.3,-8,13,0.619949494949495
"557",5,1,12.9,-5.1,6.3,0.777777777777778
"558",6,1,25.3,5.4,2.8,0.708333333333333
"559",7,1,32.3,22.6,2.9,0.842171717171717
"560",2,1,47.7,45.2,5.6,0.587121212121212
"561",1,1,47.6,33.8,7.2,0.48989898989899
"562",3,1,42.7,29.3,4.4,0.717171717171717
"563",4,1,48.3,40,4.7,0.705808080808081
"564",5,1,42.6,37.5,3.3,0.736111111111111
"565",6,1,39.4,32.7,999.9,0.657828282828283
"566",7,1,37.8,23.5,999.9,0.743686868686869
"567",2,1,37.6,26.9,999.9,0.565656565656566
"568",1,1,29.1,16,999.9,0.47979797979798
"569",3,1,39,21.1,999.9,0.454545454545455
"571",5,1,12.3,0,999.9,0.628787878787879
"572",6,1,13.1,-2.3,999.9,0.772727272727273
"573",7,1,14.7,-3.6,999.9,0.890151515151515
"574",2,1,21.8,6.6,6.2,0.599747474747475
"575",1,1,21.4,5.3,6.9,0.587121212121212
"576",3,1,34.8,17.4,5.9,0.64520202020202
"577",4,1,17.8,-7.2,6.5,0.636363636363636
"578",5,1,17.4,-2.4,5.8,0.819444444444444
"579",6,1,21.2,0.2,3.1,0.829545454545455
"580",7,1,30.7,9.9,5,0.707070707070707
"581",2,2,39.1,17.2,2.4,0.640151515151515
"582",1,2,45.1,34.2,3.1,0.526515151515151
"584",4,2,28.3,20.9,2.1,0.773989898989899
"585",5,2,31.8,27.5,6.4,0.590909090909091
"586",6,2,27.3,18.7,4.9,0.718434343434343
"587",7,2,27.6,13.5,5.6,0.852272727272727
"588",2,2,25.9,5,4.4,0.535353535353535
"589",1,2,25.5,8.3,3.8,0.568181818181818
"590",3,2,25.1,12.4,5.4,0.856060606060606
"591",4,2,21.7,4.1,5.2,0.803030303030303
"592",5,2,18.9,2.7,5,0.808080808080808
"593",6,2,29.9,24.8,10.6,0.564393939393939
"594",7,2,35.5,26.4,9.3,1
"595",2,2,35.6,23.9,6.5,0.651515151515151
"596",1,2,26.6,11.6,8.3,0.585858585858586
"597",3,2,23.7,3.1,5.5,0.619949494949495
"598",4,2,32,18.5,4.2,0.654040404040404
"599",5,2,38.4,28.2,3.9,0.696969696969697
"600",6,2,42.8,26.6,4.7,0.702020202020202
"601",7,2,39.4,36.3,6.3,0.688131313131313
"602",2,2,46,25.8,5.8,0.741161616161616
"603",1,2,48.6,26,4.1,0.522727272727273
"604",3,2,39.1,17,7.6,0.718434343434343
"605",4,2,28.2,9,7.3,0.647727272727273
"606",5,2,27.4,9.3,5,0.64520202020202
"607",6,2,24.6,1.3,5.7,0.720959595959596
"608",7,2,16.5,-8,6.1,0.827020202020202
"609",2,3,27.2,5.8,3.4,0.627525252525252
"610",1,3,36.9,17.9,3.4,0.434343434343434
"611",3,3,25.3,7.2,5.7,0.555555555555556
"612",4,3,20.1,-0.1,4.4,0.671717171717172
"613",5,3,31.3,6,3.2,0.619949494949495
"614",6,3,24.5,4.1,8.1,0.704545454545455
"615",7,3,30.2,17.9,6.8,0.672979797979798
"616",2,3,42.8,26.9,5.1,0.650252525252525
"617",1,3,41.4,18.9,5.6,0.51010101010101
"618",3,3,42.3,18.9,4.7,0.647727272727273
"619",4,3,53.6,30.9,4.6,0.643939393939394
"620",5,3,52.5,38.4,3.3,0.650252525252525
"621",6,3,28.7,11.7,11,0.688131313131313
"622",7,3,30.5,5.2,6.1,0.738636363636364
"623",2,3,49.9,24.2,6.6,0.65530303030303
"624",1,3,37,10.4,7.3,0.52020202020202
"625",3,3,28.9,2.5,7.5,0.65530303030303
"626",4,3,33.9,7.3,5.7,0.695707070707071
"627",5,3,36.9,27.1,6.2,0.662878787878788
"628",6,3,45.6,34.5,6.6,0.791666666666667
"629",7,3,44.1,18.4,8.2,0.743686868686869
"630",2,3,49.9,25.2,5.6,0.622474747474748
"631",1,3,40.9,17.7,5.8,0.539141414141414
"632",3,3,28,2.8,6.3,0.690656565656566
"633",4,3,32.4,7.4,4.1,0.598484848484849
"634",5,3,33.1,9.4,10.4,0.710858585858586
"635",6,3,30.5,6.5,6.7,0.679292929292929
"636",7,3,48,33.7,5.1,0.669191919191919
"637",2,3,50.7,42.9,6.6,0.718434343434343
"638",1,3,45.3,41.9,9.6,0.551767676767677
"639",3,3,43.5,32.6,8.2,0.705808080808081
"640",4,4,46.8,26.9,5,0.693181818181818
"641",5,4,47.3,35.6,1.9,0.65530303030303
"642",6,4,53.6,30.8,3,0.747474747474748
"643",7,4,44.4,35.3,6.5,0.785353535353535
"644",2,4,45.8,32.8,7.9,0.732323232323232
"645",1,4,45.3,19.9,4.3,0.611111111111111
"646",3,4,47.2,31.4,4.4,0.672979797979798
"647",4,4,52.6,44.1,5.6,0.765151515151515
"648",5,4,52.2,28.7,6.6,0.751262626262626
"649",6,4,50.5,19.3,5.8,0.814393939393939
"650",7,4,62.1,37.1,5.7,0.768939393939394
"651",2,4,60.4,39.7,3.6,0.72979797979798
"652",1,4,63,42.1,4.7,0.608585858585859
"653",3,4,67.3,52.2,6.4,0.648989898989899
"654",4,4,58.5,53.5,6.9,0.570707070707071
"655",5,4,38.8,22,7.3,0.71969696969697
"656",6,4,41.6,21.3,7.2,0.641414141414141
"657",7,4,41.4,28.1,5.1,0.626262626262626
"658",2,4,52.6,28.3,3.7,0.662878787878788
"659",1,4,52.1,26.1,6.6,0.496212121212121
"660",3,4,52,27.4,3.6,0.657828282828283
"661",4,4,59,44.3,4.3,0.579545454545455
"662",5,4,55.7,38.4,6.6,0.676767676767677
"663",6,4,50.5,18.2,8.1,0.73989898989899
"664",7,4,52.6,19.4,4.2,0.779040404040404
"665",2,4,53,42,5,0.691919191919192
"666",1,4,51.9,34.6,5.2,0.566919191919192
"667",3,4,54.5,32.5,3.6,0.753787878787879
"668",4,4,49.7,36.8,7.1,0.700757575757576
"669",5,4,44.2,40.6,7.7,0.821969696969697
"670",6,5,61.1,52.4,4.6,0.820707070707071
"671",7,5,63.4,41.8,3.7,0.881313131313131
"672",2,5,61.3,36.6,3.6,0.744949494949495
"673",1,5,57.6,41,5.1,0.569444444444444
"674",3,5,58.4,29.7,7.2,0.78030303030303
"675",4,5,60.3,28,3.4,0.713383838383838
"676",5,5,59.1,28.5,3.2,0.761363636363636
"677",6,5,55.9,48.7,3.7,0.752525252525252
"678",7,5,58,54.6,2.9,0.737373737373737
"679",2,5,65.6,60.2,3.3,0.693181818181818
"680",1,5,70.1,46.3,4,0.737373737373737
"681",3,5,73.8,49.3,1.7,0.733585858585859
"682",4,5,68.5,49.5,5,0.707070707070707
"683",5,5,58.2,47.3,4.7,0.805555555555556
"684",6,5,63.1,59.5,4.4,0.832070707070707
"685",7,5,65.9,62.8,5.6,0.883838383838384
"686",2,5,61.6,48.2,5.3,0.781565656565657
"687",1,5,60,36.4,4.3,0.640151515151515
"688",3,5,60.3,32.4,4.3,0.722222222222222
"689",4,5,66.2,36.9,2.9,0.820707070707071
"690",5,5,69.5,45.3,2.7,0.726010101010101
"691",6,5,62.7,56.3,2.5,0.748737373737374
"692",7,5,62.2,56.5,3.1,0.833333333333333
"693",2,5,60.2,54.1,3.4,0.613636363636364
"694",1,5,65.8,51.1,2,0.595959595959596
"695",3,5,74.7,48,3.7,0.546717171717172
"696",4,5,78.3,55,3.4,0.814393939393939
"697",5,5,61.5,52.8,6.3,0.679292929292929
"698",6,5,56.3,43.4,4.8,0.837121212121212
"699",7,5,63.3,44.7,1.6,0.820707070707071
"700",2,5,64.2,48.7,5.5,0.741161616161616
"701",1,6,64.8,41.2,2.8,0.762626262626263
"702",3,6,69.7,45.4,3.9,0.811868686868687
"703",4,6,75.3,58.5,3.7,0.837121212121212
"704",5,6,70.8,62.3,2.7,0.734848484848485
"705",6,6,68.1,60,4.5,0.718434343434343
"706",7,6,67.7,47.9,4.2,0.938131313131313
"707",2,6,71,50.9,2.5,0.786616161616162
"708",1,6,75,53.9,2.1,0.651515151515151
"709",3,6,67.4,59.2,3.6,0.666666666666667
"710",4,6,69.5,64.5,3.4,0.718434343434343
"711",5,6,67,60.6,6,0.727272727272727
"712",6,6,64.7,59.5,4.6,0.710858585858586
"713",7,6,69.5,65.6,3.4,0.893939393939394
"714",2,6,69,59.3,3.7,0.773989898989899
"715",1,6,67.7,50.3,4,0.599747474747475
"716",3,6,72.3,55.3,2.1,0.785353535353535
