"day","temp","dewp","prcp","NUM_COLLISIONS"
2,64.9,58.9,3.82,571
1,71.7,57.6,0.48,533
3,67.7,62.1,0,624
4,69.6,63.6,1.47,635
5,70.9,53.2,0.09,615
6,65.7,55.6,0,534
7,59.9,53.8,1.58,693
2,69.4,52,0.06,596
1,72.8,53.8,0,477
3,75.3,63.4,0,614
4,72.8,63.8,0.01,613
5,67.4,54.4,0.2,622
6,69.6,52.4,0,681
7,71.6,51.6,0,690
2,72.4,54,0,599
1,76.1,62.6,0,505
3,80.6,68.1,0,680
4,80.9,64.9,0,648
5,79.4,65.6,0,621
6,78.1,68.7,0.05,598
7,77.1,69.4,0.24,608
2,76.2,65.9,0,591
1,77.5,70.8,0,423
3,74.2,71,0,633
4,75.6,71.7,0.84,601
5,76,71.4,0.08,635
6,79.5,72.8,0.53,438
7,82.3,70.7,0,576
2,84.6,70.1,0,516
1,85.6,70.7,0,475
3,81.3,65.8,0,617
4,78.8,67.2,0.22,583
5,79.4,70.5,0.23,614
6,80.6,68.7,0,550
7,75,62.6,0,599
2,72.2,68.9,0.28,575
1,80.3,71.5,0.03,471
3,85.3,69.7,0,581
4,85.9,66.3,0,582
5,86.7,66.3,0,609
6,88.2,68.6,0,636
7,89.1,72.1,0,697
2,86.7,70.1,0,551
1,82.3,63.7,0,447
3,78.2,70,0,591
4,78.7,71.4,0.37,571
5,78.5,64.5,0.31,571
6,67.3,52.3,0,507
7,72.2,57.5,0.01,617
2,75.2,61.2,0,516
1,73.3,65.2,0,485
3,75.1,64.9,0.25,597
4,74.4,53.3,0.01,584
5,74.1,56.3,0,553
6,71.5,62.8,0,643
7,73.6,62.9,0.65,626
2,73.4,60,0.01,492
1,73.2,56,0.05,454
3,70.2,47,0,545
4,72.1,52.5,0,543
5,73.4,60.5,0,508
6,73.8,69.3,0.18,549
7,77,71.9,0.32,579
2,77.2,62.8,0.01,495
1,73.5,53,0,481
3,74.5,64.2,0.05,519
4,73.2,67.2,0.01,552
5,68.3,52.3,0.84,622
6,68.6,47.5,0,599
7,70.9,51.5,0,678
2,72.6,53.5,0,504
1,72.1,54.6,0,442
3,72.1,58.2,0,462
4,76.6,61.9,0,542
5,80.1,61.4,0,562
6,75.6,68.8,0,578
7,75.5,60.8,0.25,636
2,72,49.8,0,527
1,72.8,53.9,0,459
3,74.5,56.8,0,521
4,77.8,66.1,0.05,506
5,76.4,68,0.01,482
6,73.8,67.5,0.43,572
7,75.1,64.3,0,599
2,78.3,68.8,0,480
1,78.9,70.1,0,480
3,76.9,71.8,0,431
4,75.7,64.8,0.08,551
5,72.7,54,0.03,604
6,73,51.4,0,493
7,64.7,39.9,0,524
2,67.8,45.9,0,585
1,73.7,52.8,0,500
3,65.3,45.6,0,632
4,74.9,63.7,0.01,629
5,84.4,70.9,0,576
6,80,69.8,0,695
7,70.1,61.5,1.66,652
2,60.3,44.5,0.06,519
1,60.4,43.3,0,476
3,65.2,51.7,0.01,570
4,57.8,38.3,0.02,627
5,60,41.9,0,571
6,64.3,47.4,0,536
7,67.6,53.9,0,631
2,67.7,59.5,0,546
1,65.3,53.6,1.17,585
3,57.5,39.8,0.45,661
4,58.4,40.3,0,615
5,62.5,43.4,0,539
6,63,52.3,0,516
7,61.8,50.8,0,553
2,64.1,49.4,0,547
1,63.7,52.2,0,506
3,63.1,50.7,0,605
4,68.2,52.1,0,616
5,72.7,55.9,0,647
6,71.7,54.7,0,590
7,73.5,59.7,0,658
2,69.5,61.5,0,497
1,67.2,63.1,0,404
3,69.6,64.7,0,618
4,60.8,43.9,0.25,574
5,58.3,42.3,0,529
6,58.4,48.4,0,559
7,63.3,54.4,0,621
2,65.2,45.7,0.02,556
1,60.3,49.4,0,502
3,58.2,46.2,0,440
4,60,49.6,0,615
5,60.6,51.9,0,548
6,65.3,58.1,0,574
7,63.5,47.6,0.02,680
2,58.3,42,0,471
1,57.4,39.6,0.01,490
3,57.4,35.5,0,616
4,59.5,44.8,0,540
5,51.8,35.1,0,558
6,47.4,29.5,0,632
7,46.3,27.4,0,647
2,47.9,29,0,626
1,52.1,28.9,0,512
3,51.5,29.6,0,620
4,50.2,30,0,600
5,52.8,39,0,558
6,59.7,52.7,0,615
7,66.2,56.7,0.07,710
2,61.3,46.6,0.12,551
1,49.6,32.9,0,415
3,39.4,15.9,0,658
4,46.8,30.4,0,510
5,54.4,42.1,0,635
6,57.8,51,0,646
7,45,26.7,0.13,682
2,43.7,24.2,0,571
1,49.6,31.1,0,474
3,48.2,25,0,456
4,42.8,24.9,0.02,647
5,33.1,12.9,0.01,593
6,40.7,15.2,0,620
7,50,20.2,0,617
2,52.3,35.5,0.03,612
1,54.6,49.8,0.02,532
3,60.4,45.5,0.25,611
4,47.1,23.1,0.22,600
5,37.5,16,0,607
6,42.1,24.8,0,628
7,52.8,43.7,0.01,702
2,46.3,27.8,0.06,536
1,27.6,4.8,0,494
3,27.5,6.8,0,710
5,48.5,44.4,2.18,742
6,33.2,13.3,0.31,429
7,33.7,13.8,0,437
2,31.2,14.3,0,479
1,41.3,28.2,0,420
3,45.1,32.4,0,549
4,44.8,34.3,0,553
5,45.7,34.7,0,520
6,52.8,47,0.01,573
7,52.4,48.3,0.04,759
2,38.2,29.1,0.83,567
1,31.6,15.6,0.14,456
3,34.6,31.2,0.28,639
4,35.7,30.2,0.1,539
5,30.1,14.1,0.23,605
6,26.8,8,0,648
7,27.8,7.7,0,695
2,28.2,17.5,0,690
1,33.1,27.5,1.45,450
3,30.3,12.7,0.72,640
4,27.3,16,0.01,703
5,28.9,18.3,0.18,701
6,36.5,20.7,0,607
7,46.8,28.4,0,674
2,55.4,44.4,0.01,594
1,65.5,55.4,0,505
3,59.8,54,0.07,707
4,38.8,23.9,0.44,515
6,31.9,18.7,0,428
7,35.2,18.7,0,476
2,43,22,0,475
1,45.9,30.4,0,394
3,39.8,29.2,1.2,476
4,26,10.4,0,465
5,28.2,10.7,0,399
6,28.5,19.6,0.02,603
7,15.6,6.7,0.58,423
2,15.8,-1.4,0.02,418
1,30.3,21.9,0,320
3,45.6,39.8,0.23,518
4,12.3,-8,0.27,491
5,12.9,-5.1,0,616
6,25.3,5.4,0,561
7,32.3,22.6,0,667
2,47.7,45.2,1.4,465
1,47.6,33.8,0.42,388
3,42.7,29.3,0.05,568
4,48.3,40,0,559
5,42.6,37.5,0.38,583
6,39.4,32.7,0,521
7,37.8,23.5,0,589
2,37.6,26.9,0,448
1,29.1,16,0.07,380
3,39,21.1,0,360
5,12.3,0,0.46,498
6,13.1,-2.3,0.02,612
7,14.7,-3.6,0,705
2,21.8,6.6,0,475
1,21.4,5.3,0.04,465
3,34.8,17.4,0,511
4,17.8,-7.2,0,504
5,17.4,-2.4,0.04,649
6,21.2,0.2,0,657
7,30.7,9.9,0,560
2,39.1,17.2,0,507
1,45.1,34.2,0,417
4,28.3,20.9,0.84,613
5,31.8,27.5,0.97,468
6,27.3,18.7,1.43,569
7,27.6,13.5,0,675
2,25.9,5,0,424
1,25.5,8.3,0,450
3,25.1,12.4,0.1,678
4,21.7,4.1,0,636
5,18.9,2.7,0,640
6,29.9,24.8,0.25,447
7,35.5,26.4,1.83,792
2,35.6,23.9,0.3,516
1,26.6,11.6,0.13,464
3,23.7,3.1,0,491
4,32,18.5,0.07,518
5,38.4,28.2,0.09,552
6,42.8,26.6,0.26,556
7,39.4,36.3,0.03,545
2,46,25.8,0.09,587
1,48.6,26,0,414
3,39.1,17,0,569
4,28.2,9,0,513
5,27.4,9.3,0,511
6,24.6,1.3,0.03,571
7,16.5,-8,0,655
2,27.2,5.8,0,497
1,36.9,17.9,0,344
3,25.3,7.2,0.04,440
4,20.1,-0.1,0,532
5,31.3,6,0,491
6,24.5,4.1,0,558
7,30.2,17.9,0,533
2,42.8,26.9,0,515
1,41.4,18.9,0,404
3,42.3,18.9,0,513
4,53.6,30.9,0,510
5,52.5,38.4,0,515
6,28.7,11.7,0.35,545
7,30.5,5.2,0,585
2,49.9,24.2,0,519
1,37,10.4,0,412
3,28.9,2.5,0,519
4,33.9,7.3,0,551
5,36.9,27.1,0,525
6,45.6,34.5,0.92,627
7,44.1,18.4,0,589
2,49.9,25.2,0,493
1,40.9,17.7,0,427
3,28,2.8,0,547
4,32.4,7.4,0,474
5,33.1,9.4,0,563
6,30.5,6.5,0,538
7,48,33.7,0,530
2,50.7,42.9,0.04,569
1,45.3,41.9,2.01,437
3,43.5,32.6,0.3,559
4,46.8,26.9,0.01,549
5,47.3,35.6,0,519
6,53.6,30.8,0,592
7,44.4,35.3,0.1,622
2,45.8,32.8,0.18,580
1,45.3,19.9,0,484
3,47.2,31.4,0,533
4,52.6,44.1,0.86,606
5,52.2,28.7,0.34,595
6,50.5,19.3,0,645
7,62.1,37.1,0,609
2,60.4,39.7,0,578
1,63,42.1,0,482
3,67.3,52.2,0,514
4,58.5,53.5,0.07,452
5,38.8,22,0.69,570
6,41.6,21.3,0.05,508
7,41.4,28.1,0,496
2,52.6,28.3,0,525
1,52.1,26.1,0,393
3,52,27.4,0,521
4,59,44.3,0,459
5,55.7,38.4,0.01,536
6,50.5,18.2,0,586
7,52.6,19.4,0,617
2,53,42,0.89,548
1,51.9,34.6,0.05,449
3,54.5,32.5,0,597
4,49.7,36.8,0,555
5,44.2,40.6,0.59,651
6,61.1,52.4,4.53,650
7,63.4,41.8,0.12,698
2,61.3,36.6,0,590
1,57.6,41,0.08,451
3,58.4,29.7,0.02,618
4,60.3,28,0,565
5,59.1,28.5,0,603
6,55.9,48.7,0.34,596
7,58,54.6,0.11,584
2,65.6,60.2,0.04,549
1,70.1,46.3,0.4,584
3,73.8,49.3,0.03,581
4,68.5,49.5,0,560
5,58.2,47.3,0,638
6,63.1,59.5,0.12,659
7,65.9,62.8,0.07,700
2,61.6,48.2,1.51,619
1,60,36.4,0,507
3,60.3,32.4,0,572
4,66.2,36.9,0,650
5,69.5,45.3,0,575
6,62.7,56.3,0.22,593
7,62.2,56.5,0.02,660
2,60.2,54.1,0.99,486
1,65.8,51.1,0.32,472
3,74.7,48,0,433
4,78.3,55,0,645
5,61.5,52.8,0,538
6,56.3,43.4,0,663
7,63.3,44.7,0,650
2,64.2,48.7,0,587
1,64.8,41.2,0.05,604
3,69.7,45.4,0,643
4,75.3,58.5,0,663
5,70.8,62.3,0.12,582
6,68.1,60,0.62,569
7,67.7,47.9,0.25,743
2,71,50.9,0,623
1,75,53.9,0,516
3,67.4,59.2,0.64,528
4,69.5,64.5,0.96,569
5,67,60.6,0.02,576
6,64.7,59.5,0,563
7,69.5,65.6,0.21,708
2,69,59.3,1.14,613
1,67.7,50.3,0,475
3,72.3,55.3,0,622
4,77.7,62.1,0,666
5,83.4,62.7,0,663
6,74.9,62,0,675
7,71.8,50.5,0.15,765
2,70.4,46.6,0,557
1,69.8,53.2,0,477
3,71.8,54.4,0,644
4,73.1,57.9,0,632
5,75.4,65.8,0,646
6,76.6,67.6,0.15,670
7,75.1,60.6,0.07,660
2,74.5,54.8,0,611
1,74.4,56.2,0,537
3,75.7,59.1,0,610
4,79.1,66.8,0,616
5,81.3,69.4,0,658
6,77.3,71.8,1,740
7,70.4,65.9,1.74,360
2,71.4,49.1,0.14,505
1,76,52.5,0,451
3,79.8,61.8,0,614
4,81.4,66.6,0.43,594
5,78.8,65,0.39,569
6,75.4,62.1,0.09,584
7,76.8,58.4,0,642
2,76.2,60.5,0,550
1,75.8,65.2,0,439
3,75.7,70.8,0.03,567
4,75.3,72,0.46,587
5,73.3,64.9,1.3,551
6,73.6,54.8,0,587
7,73.4,52.8,0,624
2,72.2,51.3,0,480
1,71.9,58.5,0,451
3,73.9,60.3,0,557
4,77,63.5,0,587
5,79.7,66.9,0,591
6,75.1,63.6,0.19,539
7,73.7,53.4,0,653
2,73.9,59.9,0,534
1,77,67,0.01,476
3,75.8,65.3,0.2,595
4,69.6,52.5,0.19,526
5,70.8,51.2,0,605
6,73.5,57.3,0,626
7,75.5,65.2,0,667
2,70.4,61.8,0.36,540
1,69.5,62.3,0.1,476
3,75,64.7,0.02,589
4,78.6,61.8,0,606
5,76.3,60.3,0,562
6,74.4,52.5,0,585
7,73.2,51.2,0,601
2,76,52.8,0,538
1,77.5,56.1,0,512
3,77.5,56.2,0,604
4,74.4,64.9,0,491
5,72.5,66.3,0.7,572
6,70.9,52.5,0.02,625
7,68,48.8,0,522
2,70.3,50.5,0,490
1,73.6,54.5,0,476
3,72,52.3,0.01,595
4,72.2,56.5,0,516
5,75.1,60.5,0,551
6,73.9,60.3,0.04,567
7,70.6,62.7,0.37,568
2,70.4,58.2,0.06,454
1,70.7,58.4,0.01,437
3,74.3,57.8,0,549
4,77.7,61.6,0,608
5,78.5,60.9,0,538
6,76.4,56.2,0,618
7,69.6,48.9,0,631
2,71.4,56.4,0,510
1,77,66.9,0,495
3,79.3,70.6,0.62,392
4,83.5,69.5,0,700
5,79.4,59.5,0,580
6,77.9,56.9,0,727
7,78.2,67.8,0,647
2,80.9,70.9,0,553
1,72.6,57.5,0.11,477
3,70.1,52.2,0,598
4,68.1,56,0,592
5,69.4,56.7,0,618
6,73.9,63.5,0,619
7,70.1,52.7,0,730
2,63.9,52.7,0,558
1,60.9,48.3,0.26,528
3,62.8,43.4,0,610
4,63.5,53.5,0.03,613
5,64.3,45.5,0.34,658
6,65.8,47.4,0,650
7,61.6,44.5,0,648
2,65,52.7,0,594
1,70.2,65,0.15,515
3,67.3,52.7,0,662
4,60.1,40.1,0,592
5,64.1,52.3,0,566
6,61.7,53.7,0.02,491
7,66.2,51.3,0.3,643
2,70.7,53.4,0,600
1,73.1,57.4,0,512
3,72.4,57.9,0,566
4,68.8,57.9,0,589
5,63.2,57.1,0,559
6,63.5,54.1,0.02,558
7,62.9,50.7,0,719
2,64.2,57.1,0.14,531
1,53.1,34.7,1.04,505
3,58.6,42.1,0,639
4,66.2,52.6,0,620
5,66.7,53,0.1,639
6,62.6,37.8,0.04,499
7,58.7,37,0,541
2,54.9,46.5,0.14,546
1,54,41.1,0.19,473
3,58.7,47.7,0,451
4,67.9,61.3,0.05,697
5,71.4,64.8,0,575
6,68.8,63.8,1.68,602
7,64.6,51.4,0.12,648
2,63.8,50.3,0,494
1,53.4,34.4,0,483
3,49.4,30.9,0,591
4,60.2,46.2,0,607
5,55.5,51.2,0.61,708
6,51.4,46.9,1.23,639
7,54.7,43.3,0.39,669
2,58.1,39.2,0,515
1,58.4,38.6,0.01,515
3,56,35.6,0,642
4,60.6,44,0,571
5,64.5,52.4,0,556
6,52.5,40.3,0,626
7,49.9,34.8,0,668
2,46.5,39.1,0.11,656
1,44.1,28.1,0.29,532
3,47.6,22.7,0,625
4,59.5,23.7,0,538
5,60.4,36.4,0,554
6,52,42.2,0.12,652
7,49,38.5,0.25,641
2,41.9,24.7,0,543
1,50,32,0,419
3,51.9,32.5,0,560
4,56.4,47.7,0,493
5,59.5,52.6,0,546
6,45.1,30.1,0,696
7,38.6,26,0.26,654
2,37.2,17.3,0.06,529
1,40,20.4,0,429
3,43.7,38.2,0.49,666
4,35.4,16.3,1.08,712
5,26.7,4.5,0,633
6,38.2,16.3,0,635
7,32.3,8.1,0,677
2,34.3,11.1,0,512
1,47.4,22.2,0,425
3,60.7,53.2,0.68,722
4,60,40.4,0.02,599
5,42.9,30.4,0.01,742
6,36.3,30.3,1.23,378
7,33.5,19.6,0.02,444
2,31.4,12.7,0,394
1,47.5,30.7,0,377
3,55.4,40.5,0,644
4,39.4,26.8,0.09,611
5,43.8,39.6,0.09,569
6,41.2,22.5,0.05,606
7,38.4,26,0,673
2,44.8,42,0.68,628
1,38.2,24.6,1.09,493
3,29.2,11.1,0.04,579
4,38.2,33.7,0.53,645
5,37.7,32.7,2.01,649
6,34.1,22.5,0.09,669
7,34.5,21,0.01,687
2,37.5,23.7,0,594
1,41,28.3,0,439
3,41.6,28.7,0,720
4,43.2,35.2,0,645
5,47.4,39.7,0.22,555
6,40.7,24.2,0.02,621
7,36.2,21.6,0,652
2,31.7,19.1,0,505
1,32.4,23.2,0,409
3,37.4,31.8,0,566
4,44.4,41.8,0.18,732
5,45.5,44.1,0.05,519
6,53.2,41.7,0.86,303
7,44.9,27.6,0.09,446
2,47.7,30.1,0,406
1,49.4,36.8,0,349
3,41.4,21.6,0.1,411
4,32.5,14.6,0,469
5,29.4,8.5,0,461
6,31.4,8.1,0,395
7,38.7,16.1,0,442
2,35.5,22.4,0,456
1,45.4,42.3,0.89,381
3,40.9,19.1,0.12,498
4,21,4.8,0,777
5,20.7,5.7,0.05,538
6,13,-6.2,0,573
7,24.9,7.5,0,751
2,21.1,-0.3,0.07,481
1,25.7,3,0,341
3,36.9,23.7,0.01,580
4,29.5,17.3,0.35,613
5,22.8,9.5,0,506
6,29.5,16.3,0,548
7,33.4,14.9,0,563
2,22.2,1.8,0,495
3,39.2,27.9,2.1,496
4,37.5,20.2,0,500
5,31.4,8.9,0,495
6,34.4,19,0,508
7,32.7,15.6,0,598
2,35.4,29.3,0.66,428
1,37.8,20,0.06,406
3,26.5,12.7,0,484
5,23.6,3.8,0.36,458
6,26.6,6.5,0,519
7,34.2,23,0.07,622
2,19.6,-0.2,0.01,526
1,27.6,11.4,0,361
3,29.9,25,0.71,680
4,18.1,7.6,0.34,740
5,31.2,17.3,0,585
6,33.8,16.1,0,569
7,17.9,-1.5,0,652
2,29.8,12.6,0,449
1,35.1,27.6,0.02,394
3,27.7,21,0.03,547
4,30,19.3,0.07,571
5,28.3,12.2,0.01,610
6,32.3,19.4,0,526
7,16.1,-4.7,0,757
2,23.4,4.9,0,436
1,18.9,4.1,0.02,454
3,9.8,-11.8,0,402
4,20.2,5,0.11,620
5,24.9,10.3,0.03,626
6,20.9,2.1,0,515
7,10,-11.1,0,621
2,20.5,3.2,0,517
1,34.3,28.2,0.71,519
3,28.2,8.4,0.1,574
4,12.1,-6.8,0,580
5,27.6,9.5,0,628
6,26.8,8.2,0,539
7,23.2,5,0,703
2,21.5,-1.9,0,538
1,27.2,7,0,693
3,32.4,19.1,0.52,650
4,28.2,11.9,0,631
5,38.5,33,0.68,574
6,30.3,27.2,0.48,830
2,26.1,8.7,0,578
1,41.4,21.3,0,464
3,46.6,23,0.01,661
4,47.2,30.1,0.13,584
5,48.8,39.6,0.47,565
6,45.1,11,0.01,586
7,37.6,4.8,0,609
2,44,37.5,0.23,507
1,42.4,31.3,0.58,459
3,40.7,23.7,0,529
4,49.7,31.1,0.01,528
5,33.9,8.7,0.01,547
6,34,5.1,0,582
7,34.5,12.3,0,570
2,33.7,27.5,0.4,507
1,39.1,16.9,0,432
3,30.3,4.3,0,586
4,33.8,5.9,0,601
5,39.9,20.1,0,538
6,46.9,42.5,0.05,525
7,43.9,36.6,0.59,532
2,37.2,21.1,0.27,459
1,33.4,6.3,0,505
3,43.3,20.5,0,556
4,42.2,27.9,0,628
5,38.9,22.1,0.17,648
6,51.8,21.2,0,653
7,61.1,43.9,0,491
2,52.9,35.8,0.05,507
1,49.3,20.8,0.01,422
3,50.8,34.8,0,510
4,54.9,41,0,452
5,42.3,32.8,0.15,457
6,38.8,33.5,0,452
7,44.6,41.3,0.17,486
2,54.1,34.6,0,576
1,51.3,26.1,0,443
3,57.7,35.7,0,554
4,60.7,41.5,0,542
5,61,22.9,0.01,595
6,58,21,0,560
7,60.5,48.6,0.08,679
2,68,43.4,0,605
1,58.7,27.8,0,471
3,51.1,45.5,0.02,630
4,56.3,44.9,1.49,645
5,57.7,34.7,0.06,568
6,46.8,26.5,0.05,612
7,43.5,17.9,0,676
2,47,21.2,0,592
1,54.1,27.4,0,477
3,54.5,29.2,0,558
4,59,34.1,0,613
5,64.9,36.8,0,679
6,55.6,38.9,0,640
7,53.6,38.7,0,642
2,55.1,40.1,0,540
1,61.6,36.8,0,555
3,70.1,44,0,641
4,73.7,48.8,0,638
5,68.1,42.9,0,568
6,66.2,43.2,0,684
7,66.9,51.7,0,709
2,62.3,54.7,0,560
1,70,60.5,0,549
3,75.3,65,0,645
4,75.6,61.1,0,684
5,64.5,39.8,0,655
6,60,32.8,0,654
7,63.1,39.2,0,723
2,65.4,52.4,0.03,650
1,72.2,63.7,0.29,543
3,67.2,58.5,0.02,566
4,65.2,57.3,0,606
5,62,42.6,0,666
6,56.7,36.2,0,615
7,62.1,41,0,727
2,59.3,28.3,0,546
1,66.2,41.2,0,432
3,73.8,53.8,0,420
4,76.1,57.5,0,686
5,75.7,63.3,0,697
6,75.9,65.9,0.08,682
7,73.6,53.9,0,813
2,73.5,62.1,0,622
1,74.4,63.8,0,555
3,58,55,1.89,691
4,52.4,49.4,0.4,642
5,58,49.6,0.26,658
6,58,48.1,0,552
7,59.4,51,0,692
2,65.9,53.9,0.32,598
1,65,40.3,0.19,559
3,68.6,55.2,0,634
4,73.7,63.4,0.07,652
5,74,55.9,0.01,667
6,79.6,62.3,0,666
7,81.6,63.9,0,451
2,81.4,61.3,0,395
1,77.9,57.4,0,578
3,70.8,65.6,0.77,506
4,69.9,64.5,0.16,593
5,73.3,58.7,0.27,706
6,66.8,58.2,0,615
7,74.6,62.5,0,732
2,70.1,57.4,0,505
1,76.3,67.8,0.35,620
3,78.3,62.1,0.29,774
4,82.1,66.8,0,703
5,76.7,57.5,0.02,778
6,75,50.4,0,670
7,74.4,57.6,0,774
2,67.7,56,0,595
1,64.3,60,1.42,535
3,70.3,55.2,0.29,662
4,74.5,58,0,622
5,75,65.1,0.43,683
6,74.7,57.9,0.39,603
7,73.5,54.4,0,549
2,72,57.9,0,389
1,74.6,58.9,0,467
3,76.8,64.9,0,598
4,78.7,69.7,0,646
5,80.5,69.2,0.12,620
6,74.7,64.2,0,567
7,76.1,62.7,0.3,709
2,78.7,55.6,0,597
1,79.9,59.1,0,521
3,79.5,60.6,0,668
4,75.3,64.9,0,657
5,77,70,0.42,611
6,72.8,49.1,0.12,686
7,72.5,57.8,0,659
2,76.2,66.1,0,561
1,84.9,70.2,0.32,545
3,88,68.8,0,727
4,83.7,64.7,0,606
5,77.3,53.4,0,618
6,76.7,49,0,623
7,77.8,49,0,490
2,78.2,54.5,0,451
1,79.8,61.4,0,551
3,78.5,65.3,0.36,626
4,82.7,65.1,0,643
5,85.4,65.7,0,629
6,80.5,71.9,0,717
7,80.5,61.4,1.95,753
2,81.6,57.2,0,668
1,79.9,55.9,0,550
3,81.3,60,0,705
4,80.7,61.2,0.43,666
5,79.3,55.3,0,619
6,75.6,52.2,0,630
7,76.4,53.9,0,726
2,74.7,55.3,0,545
1,75,57,0,489
3,74.9,60,0,611
4,74.9,66.5,0.59,601
5,77,59.7,0.58,643
6,75.4,53.9,0,714
7,77.1,53.2,0,729
2,80.7,60.6,0,582
1,82.8,63.9,0,552
3,84.4,64.9,0,592
4,81.8,67,0.29,623
5,80,70.1,0,594
6,80.5,70.1,0,600
7,78.7,65,0.33,753
2,76.9,53.1,0.32,581
1,76,60.3,0,492
3,78.2,64.3,0,575
4,80.9,64.3,0,595
5,76,51.4,0,606
6,73.8,52.5,0,614
7,72.7,51.5,0,609
2,75.7,53.9,0,539
1,79.1,61.9,0,563
3,81.7,66,0.13,614
4,82,64,0,626
5,81.1,64.3,0,654
6,82.6,64.2,0,665
7,80.6,65.2,0,643
2,74,57.1,0,541
1,74.1,55.8,0,504
3,78.4,60.5,0,485
